,0
Abdominal Pain,"Diarrhea, constipation, abdominal pain,"
Abnormal uterine bleeding,"Irregular, abnormally frequent, prolonged, or excessive amounts of uterine bleeding,"
Acquired Capillary Haemangioma of Eyelid,"Raised red or blue lesion,"
Acquired Immuno Deficiency Syndrome,"Flu-like illness,"
Acute encephalitis syndrome,"Headache, fever, confusion, stiff neck, vomiting,"
Adult Inclusion Conjunctivitis,"Reddish eye, scratchiness,"
Alcohol Abuse and Alcoholism,"Drinking large amounts of alcohol over a long period, difficulty cutting down, acquiring and drinking alcohol taking up a lot of time, usage resulting in problems, withdrawal occurring when stopping,"
Alopecia (hair loss),"Areas of hair loss, usually on the scalp,"
Alzheimer's Disease,"Memory loss, problems with language, disorientation, mood swings,"
Amaurosis Fugax,"Temporary fleeting of vision in one or both eyes,"
Amblyopia,"Decreased vision,"
Amoebiasis,"Bloody diarrhea, abdominal pain,"
Anaemia,"Feeling tired, pale skin, weakness, shortness of breath, feeling faint,"
Anaemia during pregnancy (Maternal anemia),"Feeling tired, weakness, shortness of breath, confusion, pallor,"
Aniseikonia,"objects different sizes in each eye,"
Anisometropia,"Eyes' refractive power differs significantly,"
Anthrax,"small blister with surrounding swelling, fever, chest pain, shortness of breath, nausea, vomiting, diarrhea, abdominal pain, fever, abscess,"
Anxiety,"mw-parser-output plainlist ol,mw-parser-output plainlist ul{line-height:inherit,list-style:none,margin:0,padding:0}mw-parser-output plainlist ol li,mw-parser-output plainlist ul li{margin-bottom:0}, Social isolation, Hypervigilance,"
Appendicitis,"Periumbilical or right lower abdominal pain, vomiting, decreased appetite,"
Arthritis,"Joint pain, stiffness, redness, swelling, decreased range of motion,"
Asbestos-related diseases,"Shortness of breath, cough, wheezing, chest pain,"
Asthma,"Recurring episodes of wheezing, coughing, chest tightness, shortness of breath,"
Astigmatism,"Distorted or blurred vision at all distances, eyestrain, headaches,"
Atherosclerosis,"None,"
Attention-Deficit Hyperactivity Disorder,"Inattention, carelessness, hyperactivity, executive dysfunction, impulsivity,"
Autism,"Difficulties in social interaction, verbal and nonverbal communication, and the presence of repetitive behavior or restricted interests,"
Bad Breath (Halitosis),"Unpleasant smell present on breath,"
Bell's Palsy,"Inability to move the facial muscles on one side, change in taste, pain around the ear,"
Bleeding Gums,"Red, swollen, painful, bleeding gums, loose teeth, bad breath,"
Blepharitis,"crusty eyelids,"
Blindness,"Decreased ability to see,"
Brain Tumour,"Vary depending on the part of the brain involved, headaches, seizures, problem with vision, vomiting, mental changes,"
